,drugName,condition,rating,usefulCount,eff_score,usefulness
32878,Brexpiprazole,Major Depressive Disorde,10,82,1,820
32879,Treximet,Migraine,5,6,0,0
32880,Levora,6</span> users found this comment helpful.,3,6,0,0
32881,Prazosin,Nightmares,5,40,0,0
32882,Metoprolol,Supraventricular Tachycardia,3,13,0,0
32883,Fluoxetine,Anxiety and Stress,9,95,1,855
32884,Pregabalin,ibromyalgia,7,127,1,889
32885,Vicodin,Pain,9,3,1,27
32886,Lexapro,Anxiety,8,41,1,328
32887,Cefdinir,Sinusitis,1,13,0,0
32888,Medroxyprogesterone,Birth Control,10,13,1,130
32889,Stelara,Psoriasis,10,24,1,240
32890,Plecanatide,Chronic Idiopathic Constipation,10,119,1,1190
32891,Baclofen,Muscle Spasm,9,34,1,306
32892,Tioconazole,Vaginal Yeast Infection,9,8,1,72
32893,Benzoyl peroxide / clindamycin,Acne,9,9,1,81
32894,Eflornithine,Hirsutism,9,9,1,81
32896,TriNessa,Birth Control,4,2,0,0
32897,Elavil,Vulvodynia,1,15,0,0
32899,Levomilnacipran,Depression,1,29,0,0
32900,Alprazolam,Anxiety,10,9,1,90
32901,Lamictal,Bipolar Disorde,10,49,1,490
32902,Urea,Dry Skin,10,23,1,230
32905,Acetaminophen / butalbital / caffeine,Headache,7,24,1,168
32907,Linaclotide,Constipation,10,54,1,540
32908,Flovent HFA,"Asthma, Maintenance",5,10,0,0
32909,Paliperidone,Schizoaffective Disorde,9,3,1,27
32910,Pradaxa,"Deep Vein Thrombosis, Prophylaxis",2,6,0,0
32911,Tramadol,Pain,6,11,1,66
32912,Paxil,Anxiety,8,78,1,624
32915,Morphine,Pain,10,24,1,240
32917,Pregabalin,ibromyalgia,5,14,0,0
32918,Meloxicam,Osteoarthritis,10,22,1,220
32920,Ethinyl estradiol / levonorgestrel,Birth Control,5,5,0,0
32921,Ropinirole,Restless Legs Syndrome,6,32,1,192
32924,Bisacodyl,Constipation,3,15,0,0
32925,Azelaic acid,Rosacea,9,32,1,288
32926,Prezista,HIV Infection,10,12,1,120
32927,Exenatide,"Diabetes, Type 2",10,48,1,480
32928,Lifitegrast,Dry Eye Disease,1,28,0,0
32929,Ethinyl estradiol / etonogestrel,Birth Control,8,8,1,64
32930,Citalopram,Depression,6,40,1,240
32931,Timolol,"Glaucoma, Open Angle",10,14,1,140
32932,Zoloft,Social Anxiety Disorde,10,55,1,550
32933,Olopatadine,Seasonal Allergic Conjunctivitis,10,12,1,120
32934,Hizentra,Primary Immunodeficiency Syndrome,9,3,1,27
32935,Suboxone,Opiate Dependence,9,48,1,432
32936,Bupropion,Panic Disorde,8,62,1,496
32937,Cymbalta,Depression,9,21,1,189
32939,Buprenorphine,Pain,5,14,0,0
32940,Doxycycline,Malaria Prevention,9,5,1,45
32942,Zoloft,Anxiety and Stress,7,33,1,231
32943,Dextroamphetamine,Narcolepsy,10,32,1,320
32944,Testopel,"Hypogonadism, Male",1,31,0,0
32946,Doxycycline,Urinary Tract Infection,9,0,1,0
32949,Beyaz,2</span> users found this comment helpful.,1,2,0,0
32950,Bupropion / naltrexone,Weight Loss,10,12,1,120
32951,Nefazodone,Depression,10,31,1,310
32952,Benzonatate,Cough,1,0,0,0
32953,Aubra,Birth Control,7,1,1,7
32954,Diclofenac,Pain,10,17,1,170
32955,Methylprednisolone,Inflammatory Conditions,3,17,0,0
32956,Liraglutide,"Diabetes, Type 2",10,44,1,440
32957,Methotrexate,Psoriasis,10,10,1,100
32958,Armour Thyroid,Hashimoto's disease,10,49,1,490
32960,Brimonidine,Rosacea,2,10,0,0
32961,Homatropine / hydrocodone,Cough,9,14,1,126
32962,Diazepam,Light Anesthesia,5,15,0,0
32963,Vyvanse,ADHD,4,33,0,0
32964,Temazepam,Insomnia,9,17,1,153
32965,Brimonidine,"Glaucoma, Open Angle",1,2,0,0
32966,Polyethylene glycol 3350 with electrolytes,Bowel Preparation,1,0,0,0
32968,Evening Primrose Oil,Hot Flashes,10,7,1,70
32969,Ortho Tri-Cyclen Lo,Birth Control,9,13,1,117
32970,Ciprofloxacin,Prostatitis,1,0,0,0
32971,Phendimetrazine,Obesity,3,10,0,0
32972,Cefuroxime,Sinusitis,5,8,0,0
32973,Nicorette,Smoking Cessation,10,26,1,260
32976,Jolivette,Birth Control,3,2,0,0
32977,Lunesta,Insomnia,10,64,1,640
32978,Ethinyl estradiol / norgestimate,Birth Control,5,12,0,0
32979,Topamax,6</span> users found this comment helpful.,9,6,1,54
32980,Bystolic,High Blood Pressure,9,56,1,504
32981,Ambien,Insomnia,10,3,1,30
32982,Isotretinoin,Acne,9,22,1,198
32983,Lo Loestrin Fe,Birth Control,9,52,1,468
32984,Ondansetron,"Nausea/Vomiting, Postoperative",1,8,0,0
32985,Liraglutide,Obesity,10,0,1,0
32986,Ortho Cyclen,Birth Control,10,10,1,100
32987,Benicar,High Blood Pressure,9,30,1,270
32988,Lisinopril,High Blood Pressure,3,42,0,0
32991,Cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection,9,29,1,261
32992,Amlodipine,High Blood Pressure,2,0,0,0
32993,Acyclovir,Herpes Simplex,10,37,1,370
32994,Focalin,ADHD,8,57,1,456
32995,Modafinil,Narcolepsy,3,10,0,0
32996,Elidel,Atopic Dermatitis,1,7,0,0
32998,Omeprazole / sodium bicarbonate,GERD,10,35,1,350
32999,Magnesium citrate,Constipation,1,0,0,0
33000,Cymbalta,ibromyalgia,8,14,1,112
33002,Paxil,Social Anxiety Disorde,8,9,1,72
33003,Leuprolide,Precocious Puberty,3,25,0,0
33004,Promethazine DM,Cough,1,7,0,0
33005,Inderal,Benign Essential Trem,3,14,0,0
33006,Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,1,7,0,0
33007,Pneumococcal 23-polyvalent vaccine,Pneumococcal Disease Prophylaxis,4,6,0,0
33008,Ambien,Insomnia,10,73,1,730
33009,Fluticasone / salmeterol,"Asthma, Maintenance",10,23,1,230
33011,Diclofenac,Pain,2,23,0,0
33012,Tegretol,Bipolar Disorde,3,7,0,0
33013,Hydromorphone,Pain,9,4,1,36
33014,Permethrin,Scabies,9,48,1,432
33015,Ondansetron,Nausea/Vomiting,9,18,1,162
33016,Gabapentin,Pain,1,35,0,0
33017,Scopolamine,Motion Sickness,10,44,1,440
33018,TriNessa,Acne,1,3,0,0
33019,Buprenorphine / naloxone,Opiate Dependence,10,23,1,230
33021,Noroxin,Bladder Infection,10,11,1,110
33022,Lexapro,Depression,10,50,1,500
33024,Skyla,Birth Control,9,4,1,36
33025,Nucynta,Pain,5,22,0,0
33026,Methylprednisolone,Inflammatory Conditions,9,53,1,477
33027,Cymbalta,Generalized Anxiety Disorde,1,55,0,0
33028,LoSeasonique,Birth Control,3,9,0,0
33029,Magnesium citrate,Constipation,8,35,1,280
33030,Pimecrolimus,Perioral Dermatitis,10,0,1,0
33035,Lexapro,Anxiety,9,36,1,324
33036,Nexplanon,Birth Control,5,0,0,0
33037,Ortho Micronor,Abnormal Uterine Bleeding,1,15,0,0
33039,Ropinirole,Periodic Limb Movement Disorde,10,13,1,130
33040,Equetro,Bipolar Disorde,4,10,0,0
33041,Simethicone,Gas,3,10,0,0
33042,Pseudoephedrine,Nasal Congestion,2,7,0,0
33045,Accutane,Acne,9,41,1,369
33046,Lexapro,Generalized Anxiety Disorde,9,9,1,81
33047,Adipex-P,Weight Loss,10,78,1,780
33048,Stendra,Erectile Dysfunction,10,51,1,510
33051,Bupropion,Anxiety,8,67,1,536
33052,Linaclotide,"Constipation, Chronic",10,16,1,160
33053,Taltz,Plaque Psoriasis,9,6,1,54
33054,Mirtazapine,Anxiety,7,31,1,217
33055,Escitalopram,Anxiety,6,49,1,294
33057,Lisinopril,High Blood Pressure,9,51,1,459
33058,Milnacipran,ibromyalgia,3,22,0,0
33059,Tresiba,"Diabetes, Type 2",6,12,1,72
33060,Methylphenidate,Narcolepsy,8,8,1,64
33062,Prolia,Osteoporosis,1,169,0,0
33064,Sporanox,Vaginal Yeast Infection,10,26,1,260
33065,Aleve,"Gout, Acute",3,8,0,0
33066,Viagra,Erectile Dysfunction,6,29,1,174
33067,Nortriptyline,Migraine Prevention,10,174,1,1740
33068,Dutasteride,Benign Prostatic Hyperplasia,10,7,1,70
33069,Amitriptyline,Insomnia,10,211,1,2110
33070,Accutane,Acne,9,14,1,126
33071,Levonorgestrel,Birth Control,8,15,1,120
33072,Amoxicillin / clavulanate,Bacterial Infection,1,30,0,0
33073,Abilify,Bipolar Disorde,2,13,0,0
33074,Bupropion,Depression,8,8,1,64
33076,Naratriptan,Migraine,10,16,1,160
33077,Vyvanse,ADHD,10,18,1,180
33079,Codeine / guaifenesin,Cough,1,32,0,0
33080,Paxil,Depression,1,55,0,0
33081,Accutane,Acne,10,73,1,730
33083,Fluoxetine,Depression,10,69,1,690
33086,Paliperidone,Schizophrenia,1,8,0,0
33087,Dulaglutide,"Diabetes, Type 2",7,24,1,168
33088,Ponstel,Pain,10,2,1,20
33089,Nuvigil,Shift Work Sleep Disorde,9,5,1,45
33091,Invega,Schizoaffective Disorde,9,24,1,216
33092,Cymbalta,ibromyalgia,9,108,1,972
33093,Bupropion,Depression,2,27,0,0
33094,Strattera,ADHD,4,6,0,0
33095,Amitiza,"Constipation, Chronic",9,18,1,162
33097,Liletta,Birth Control,1,10,0,0
33098,Magnesium citrate,Constipation,10,14,1,140
33099,Dexamethasone,Inflammatory Conditions,1,19,0,0
33100,HalfLytely and Bisacodyl,Bowel Preparation,9,19,1,171
33101,Paxil,Major Depressive Disorde,5,9,0,0
33102,Fluoxetine,Anxiety and Stress,10,139,1,1390
33103,Skelaxin,Muscle Spasm,10,68,1,680
33104,Neurontin,Trigeminal Neuralgia,8,56,1,448
33105,Zoloft,Obsessive Compulsive Disorde,10,38,1,380
33106,Enbrel,Psoriatic Arthritis,10,2,1,20
33109,Mononessa,Ovarian Cysts,9,4,1,36
33110,Etanercept,Rheumatoid Arthritis,9,32,1,288
33111,Nortriptyline,Migraine Prevention,9,39,1,351
33112,Clonidine,"Insomnia, Stimulant-Associated",8,11,1,88
33113,Viibryd,Major Depressive Disorde,4,23,0,0
33114,OnabotulinumtoxinA,Overactive Bladde,1,54,0,0
33115,Gabapentin,Restless Legs Syndrome,10,3,1,30
33116,Clindamycin,Bacterial Infection,1,6,0,0
33117,Dilaudid,Pain,10,33,1,330
33119,Armodafinil,Shift Work Sleep Disorde,1,2,0,0
33120,Asacol HD,Ulcerative Colitis,4,3,0,0
33121,Tizanidine,Muscle Spasm,1,28,0,0
33122,TriNessa,Birth Control,3,4,0,0
33123,Clonidine,High Blood Pressure,5,8,0,0
33124,Azor,High Blood Pressure,6,10,1,60
33126,Atomoxetine,ADHD,7,52,1,364
33128,Copaxone,Multiple Sclerosis,10,44,1,440
33130,Copper,Birth Control,5,0,0,0
33131,Levofloxacin,Bronchitis,9,15,1,135
33133,Loestrin 24 Fe,Menstrual Disorders,10,13,1,130
33134,Butrans,Pain,9,58,1,522
33135,Tenuate,Obesity,10,63,1,630
33136,Prednisone,Inflammatory Conditions,6,17,1,102
33138,Candesartan,Migraine Prevention,9,10,1,90
33139,Zofran,Nausea/Vomiting,10,32,1,320
33141,Clarithromycin,Sinusitis,9,33,1,297
33142,Ciprofloxacin,Urinary Tract Infection,5,7,0,0
33144,Lamotrigine,Bipolar Disorde,8,5,1,40
33146,Victoza,"Diabetes, Type 2",10,29,1,290
33147,Oxycodone,Chronic Pain,9,100,1,900
33148,Clarithromycin,Strep Throat,1,4,0,0
33149,Tramadol,Restless Legs Syndrome,8,12,1,96
33150,Voltaren,Pain,9,33,1,297
33152,Simethicone,Gas,3,1,0,0
33153,Medroxyprogesterone,Abnormal Uterine Bleeding,7,17,1,119
33156,Efavirenz / emtricitabine / tenofovir,HIV Infection,10,27,1,270
33157,Vaniqa,Hirsutism,8,46,1,368
33158,Amphetamine,ADHD,1,1,0,0
33159,Cymbalta,Major Depressive Disorde,9,40,1,360
33160,Bupropion,Smoking Cessation,9,14,1,126
33161,Azurette,Birth Control,8,1,1,8
33162,Klonopin,Anxiety,9,29,1,261
33163,Pristiq,Depression,2,69,0,0
33164,Lamictal,Bipolar Disorde,9,33,1,297
33165,Diphenhydramine,Insomnia,4,43,0,0
33166,Miconazole,Vaginal Yeast Infection,5,3,0,0
33167,Levaquin,Sinusitis,4,28,0,0
33168,Alcaftadine,"Conjunctivitis, Allergic",2,3,0,0
33169,Armour Thyroid,"Hypothyroidism, After Thyroid Removal",10,0,1,0
33170,Suboxone,Opiate Dependence,10,4,1,40
33171,Xanax,Anxiety,10,63,1,630
33172,Naproxen / sumatriptan,Migraine,10,3,1,30
33173,Victoza,"Diabetes, Type 2",10,43,1,430
33177,Implanon,Birth Control,2,14,0,0
33178,Lisdexamfetamine,ADHD,10,32,1,320
33180,Gildess Fe 1 / 20,Birth Control,6,4,1,24
33181,Singulair,Bronchospasm Prophylaxis,8,34,1,272
33183,Tambocor,Supraventricular Tachycardia,4,0,0,0
33184,Promethazine,Nausea/Vomiting,9,4,1,36
33187,Acetaminophen / oxycodone,Pain,9,60,1,540
33189,Doxycycline,Lyme Disease,5,12,0,0
33190,Aromasin,Breast Cance,3,69,0,0
33191,Hypercare,Hyperhidrosis,10,13,1,130
33192,Tri-Estarylla,Birth Control,1,0,0,0
33194,Doxycycline,Acne,6,12,1,72
33195,Acyclovir,Herpes Simplex,8,26,1,208
33196,Oxycodone,Chronic Pain,1,57,0,0
33197,Aripiprazole,Bipolar Disorde,1,3,0,0
33198,Victoza,"Diabetes, Type 2",10,11,1,110
33199,Lorazepam,Anxiety,6,19,1,114
33200,Hydroxyzine,Anxiety,1,43,0,0
33201,Humira,Crohn's Disease,1,1,0,0
33202,Zovirax Cream,Cold Sores,5,11,0,0
33203,Escitalopram,Depression,9,26,1,234
33204,Bisacodyl,Constipation,2,2,0,0
33205,Pantoprazole,GERD,10,21,1,210
33206,Diltiazem,Atrial Fibrillation,6,18,1,108
33207,Gabapentin,Neuropathic Pain,9,8,1,72
33208,Meperidine,Pain,10,38,1,380
33209,Amphetamine / dextroamphetamine,ADHD,10,92,1,920
33210,Moxifloxacin,Bacterial Infection,2,13,0,0
33211,Amphetamine / dextroamphetamine,ADHD,10,47,1,470
33212,Lexapro,Depression,9,161,1,1449
33213,Levonorgestrel,Emergency Contraception,10,36,1,360
33214,Fluoxetine,Obsessive Compulsive Disorde,9,6,1,54
33215,Metronidazole,Dental Abscess,7,14,1,98
33216,Adalimumab,Psoriatic Arthritis,9,35,1,315
33217,Saphris,Bipolar Disorde,8,74,1,592
33218,Duloxetine,Chronic Pain,2,34,0,0
33219,Gianvi,Birth Control,10,1,1,10
33221,Ethinyl estradiol / levonorgestrel,Endometriosis,9,8,1,72
33222,Levetiracetam,Seizures,4,3,0,0
33223,Toradol,Pain,9,19,1,171
33224,Somatropin,Pediatric Growth Hormone Deficiency,10,15,1,150
33226,Exemestane,Breast Cance,5,44,0,0
33227,Alprazolam,Panic Disorde,8,53,1,424
33228,Levonorgestrel,Birth Control,9,28,1,252
33229,Nexavar,Renal Cell Carcinoma,10,9,1,90
33230,Tizanidine,Muscle Spasm,1,26,0,0
33231,Lo Loestrin Fe,Birth Control,1,1,0,0
33232,Levonorgestrel,Emergency Contraception,7,16,1,112
33233,Contrave,Obesity,9,36,1,324
33234,Azelastine / fluticasone,Allergic Rhinitis,8,2,1,16
33235,Belviq,Weight Loss,1,7,0,0
33236,Paroxetine,Panic Disorde,7,12,1,84
33237,Zoloft,Panic Disorde,10,118,1,1180
33238,Doryx,Urinary Tract Infection,4,43,0,0
33239,Effexor XR,Depression,10,25,1,250
33240,Adderall XR,ADHD,10,44,1,440
33241,Gilenya,Multiple Sclerosis,9,84,1,756
33242,Amoxicillin / clavulanate,Sinusitis,1,10,0,0
33243,Sprintec,Birth Control,6,3,1,18
33245,Saxenda,Obesity,10,28,1,280
33246,Lurasidone,Bipolar Disorde,8,31,1,248
33247,Klonopin,Restless Legs Syndrome,9,62,1,558
33248,Tramadol,Chronic Pain,1,23,0,0
33250,Methotrexate,Psoriasis,9,1,1,9
33252,Benzoyl peroxide / clindamycin,Acne,9,14,1,126
33253,Wellbutrin,Bipolar Disorde,2,48,0,0
33254,Effexor,Depression,4,72,0,0
33255,Mirtazapine,Insomnia,10,62,1,620
33256,Tioconazole,Vaginal Yeast Infection,9,0,1,0
33257,Clonazepam,Panic Disorde,10,0,1,0
33258,Losartan,High Blood Pressure,5,39,0,0
33259,Kariva,Birth Control,8,6,1,48
33260,Amitiza,"Constipation, Chronic",10,31,1,310
33261,Cymbalta,Pain,8,48,1,384
33262,Diazepam,Anxiety,7,58,1,406
33265,Cyclobenzaprine,Muscle Spasm,8,6,1,48
33266,Amoxicillin,Bacterial Infection,6,42,1,252
33267,Venlafaxine,Hot Flashes,7,56,1,392
33268,Sodium hyaluronate,Osteoarthritis,10,23,1,230
33269,Ketorolac,Pain,9,17,1,153
33270,Prilosec,GERD,10,58,1,580
33271,Yasmin,Birth Control,4,16,0,0
33272,Amitriptyline,Migraine Prevention,7,6,1,42
33273,Welchol,"Diarrhea, Chronic",10,87,1,870
33274,Yaz,Acne,9,27,1,243
33275,Lunesta,Insomnia,3,8,0,0
33276,Flecainide,Atrial Fibrillation,9,63,1,567
33277,Nortriptyline,Vulvodynia,8,8,1,64
33278,Subutex,Chronic Pain,8,71,1,568
33280,Unisom SleepTabs,Insomnia,2,24,0,0
33282,Fentanyl,Pain,10,62,1,620
33284,Amlodipine / valsartan,ge (amlodipine / valsartan),6,41,1,246
33285,Methotrexate,Psoriatic Arthritis,10,26,1,260
33286,Vanspar,Anxiety,2,21,0,0
33287,Levonorgestrel,Emergency Contraception,8,3,1,24
33288,Bisacodyl,Constipation,5,22,0,0
33289,Qsymia,Weight Loss,8,15,1,120
33290,Hylan g-f 20,Osteoarthritis,1,20,0,0
33291,Anoro Ellipta,COPD,10,35,1,350
33293,Citalopram,Depression,9,35,1,315
33294,Orsythia,Birth Control,6,8,1,48
33295,Lidoderm,Pain,1,23,0,0
33299,Amitriptyline,Anxiety and Stress,8,6,1,48
33300,Cefuroxime,Surgical Prophylaxis,5,2,0,0
33301,Mobic,Inflammatory Conditions,2,76,0,0
33303,Protonix,11</span> users found this comment helpful.,10,11,1,110
33304,Dilaudid,Pain,8,49,1,392
33305,Egrifta,Lipodystrophy,7,2,1,14
33308,Lisdexamfetamine,ADHD,8,68,1,544
33309,Microgestin Fe 1 / 20,Birth Control,3,19,0,0
33310,Levofloxacin,Urinary Tract Infection,10,6,1,60
33311,Cipro,Urinary Tract Infection,2,54,0,0
33312,Lo Loestrin Fe,Birth Control,8,23,1,184
33314,Salonpas Pain Patch,Muscle Pain,7,36,1,252
33315,Ethinyl estradiol / levonorgestrel,Endometriosis,10,18,1,180
33316,Benzoyl peroxide / clindamycin,Acne,1,4,0,0
33317,Celexa,Panic Disorde,10,65,1,650
33318,Etonogestrel,Birth Control,7,21,1,147
33323,Eucrisa,Atopic Dermatitis,10,22,1,220
33324,Exenatide,"Diabetes, Type 2",7,10,1,70
33325,Methylphenidate,ADHD,4,65,0,0
33327,Gabapentin,Diabetic Peripheral Neuropathy,8,2,1,16
33328,Azilect,Parkinson's Disease,10,49,1,490
33329,Chantix,Smoking Cessation,10,38,1,380
33330,Trimethobenzamide,Nausea/Vomiting,8,10,1,80
33331,Naproxen,Back Pain,1,20,0,0
33332,BuSpar,Anxiety,5,28,0,0
33333,Generess Fe,Birth Control,1,29,0,0
33335,Tapentadol,Pain,8,68,1,544
33336,Pregabalin,Diabetic Peripheral Neuropathy,10,60,1,600
33337,Lithium,Schizoaffective Disorde,8,8,1,64
33338,Strattera,ADHD,3,29,0,0
33339,Latuda,Schizoaffective Disorde,8,26,1,208
33340,Varenicline,Smoking Cessation,7,2,1,14
33341,Phentermine,Weight Loss,2,23,0,0
33342,Benazepril,High Blood Pressure,2,2,0,0
33343,Acetaminophen / tramadol,Pain,10,20,1,200
33344,Adapalene,Acne,8,72,1,576
33345,Ibuprofen,Pain,9,13,1,117
33346,Drospirenone / ethinyl estradiol / levomefolate calcium,Birth Control,5,6,0,0
33347,Loryna,Acne,6,3,1,18
33350,Bupropion,Smoking Cessation,5,12,0,0
33351,Norvasc,High Blood Pressure,10,51,1,510
33352,Lo Loestrin Fe,Birth Control,5,7,0,0
33354,Ranitidine,Gastric Ulcer Maintenance Treatment,10,35,1,350
33357,Venlafaxine,Depression,8,4,1,32
33358,Doxycycline,Bronchitis,1,12,0,0
33360,Amoxicillin,Bacterial Infection,10,19,1,190
33362,Depo-Provera,Abnormal Uterine Bleeding,10,21,1,210
33363,Methylphenidate,Narcolepsy,2,5,0,0
33364,Subutex,Opiate Dependence,9,51,1,459
33366,Tri-Sprintec,Birth Control,8,1,1,8
33367,Terbinafine,"Onychomycosis, Toenail",5,17,0,0
33368,Gildess Fe 1 / 20,Birth Control,8,2,1,16
33369,Baclofen,Hiccups,9,68,1,612
33370,Adcirca,Pulmonary Hypertension,1,15,0,0
33371,Guanfacine,High Blood Pressure,10,11,1,110
33373,Lupron Depot,Prostate Cance,9,53,1,477
33374,Metronidazole,Bacterial Vaginitis,4,10,0,0
33376,Vilazodone,Depression,8,42,1,336
33377,Linzess,"Constipation, Chronic",1,19,0,0
33378,Tenofovir,Hepatitis B,10,3,1,30
33379,Maxalt,Migraine,9,3,1,27
33380,Prednisone,Allergic Reactions,3,12,0,0
33381,Naloxegol,Opioid-Induced Constipation,5,4,0,0
33382,Etonogestrel,Birth Control,10,294,1,2940
33383,Levothyroxine,Hashimoto's disease,10,29,1,290
33384,Modafinil,Obstructive Sleep Apnea/Hypopnea Syndrome,9,34,1,306
33385,Suprep Bowel Prep Kit,Bowel Preparation,6,8,1,48
33386,Stiolto Respimat,COPD,9,74,1,666
33387,Humira,Crohn's Disease,9,1,1,9
33388,Ethinyl estradiol / norelgestromin,Birth Control,10,21,1,210
33389,Ledipasvir / sofosbuvir,Hepatitis C,1,25,0,0
33390,Perampanel,Seizures,10,20,1,200
33391,Mircette,Birth Control,3,8,0,0
33392,Propafenone,Atrial Fibrillation,10,25,1,250
33393,Metronidazole,Bacterial Vaginitis,10,41,1,410
33395,Wellbutrin SR,Depression,10,73,1,730
33396,Lutera,Birth Control,9,15,1,135
33397,Etonogestrel,Birth Control,7,17,1,119
33398,Vortioxetine,Depression,7,103,1,721
33399,Tylenol with Codeine #3,Pain,2,5,0,0
33400,Azor,High Blood Pressure,1,8,0,0
33401,Dapagliflozin,"Diabetes, Type 2",1,31,0,0
33403,Linaclotide,"Constipation, Chronic",10,25,1,250
33404,Polyethylene glycol 3350,Constipation,5,11,0,0
33406,Drospirenone / ethinyl estradiol / levomefolate calcium,Birth Control,2,2,0,0
33407,Spironolactone,Alopecia,10,20,1,200
33408,Sulfamethoxazole / trimethoprim,Bacterial Infection,1,13,0,0
33409,Alprazolam,Depression,10,114,1,1140
33410,Duloxetine,ibromyalgia,9,43,1,387
33411,Liraglutide,"Diabetes, Type 2",10,9,1,90
33413,Fioricet,Headache,9,23,1,207
33414,"Insulin inhalation, rapid acting","Diabetes, Type 2",10,16,1,160
33417,ParaGard,Birth Control,2,4,0,0
33418,Ocella,Acne,6,3,1,18
33419,Magnesium citrate,Constipation,10,43,1,430
33420,Indomethacin,Tendonitis,9,22,1,198
33421,Desvenlafaxine,Post Traumatic Stress Disorde,9,28,1,252
33422,Lutera,Birth Control,7,8,1,56
33423,Plan B,Emergency Contraception,10,73,1,730
33424,Fluvoxamine,Post Traumatic Stress Disorde,8,20,1,160
33426,Klonopin,Periodic Limb Movement Disorde,9,37,1,333
33427,Lubiprostone,"Constipation, Drug Induced",8,20,1,160
33428,Plan B One-Step,Emergency Contraception,9,9,1,81
33429,Ciprofloxacin,Urinary Tract Infection,4,3,0,0
33430,Lyrica,ibromyalgia,3,36,0,0
33432,Aspirin / butalbital / caffeine / codeine,Headache,10,19,1,190
33433,Carbamazepine,Trigeminal Neuralgia,7,15,1,105
33434,Metronidazole,Dental Abscess,3,11,0,0
33435,Dulcolax,Constipation,5,17,0,0
33436,Propofol,Anesthesia,10,26,1,260
33437,Klonopin,Bipolar Disorde,9,39,1,351
33438,Avelox,Bronchitis,9,25,1,225
33440,Ocella,Birth Control,8,1,1,8
33441,Jolessa,Birth Control,8,6,1,48
33442,Zoloft,Depression,10,18,1,180
33444,Dexamethasone,Atopic Dermatitis,8,8,1,64
33445,Clarithromycin,Helicobacter Pylori Infection,1,0,0,0
33447,Buprenorphine / naloxone,Opiate Dependence,10,29,1,290
33449,Ethinyl estradiol / norethindrone,Menstrual Disorders,10,6,1,60
33450,VESIcare,Overactive Bladde,10,132,1,1320
33451,Toprol-XL,High Blood Pressure,8,27,1,216
33454,Quetiapine,Bipolar Disorde,5,0,0,0
33455,Azithromycin,Chlamydia Infection,10,7,1,70
33456,Brisdelle,Hot Flashes,9,3,1,27
33458,Celexa,Depression,9,95,1,855
33459,Budesonide / formoterol,moterol),10,81,1,810
33460,Yuvafem,Atrophic Vaginitis,8,18,1,144
33462,Sunitinib,Renal Cell Carcinoma,7,86,1,602
33464,Vilazodone,Depression,5,13,0,0
33465,Xiidra,Dry Eye Disease,1,11,0,0
33466,Apidra,"Diabetes, Type 2",10,5,1,50
33468,Ortho Tri-Cyclen Lo,Birth Control,4,35,0,0
33469,Hyaluronan,Osteoarthritis,1,47,0,0
33470,Doxepin,Insomnia,8,21,1,168
33471,Capsaicin,Pain,10,32,1,320
33472,Disulfiram,Alcohol Dependence,10,83,1,830
33473,Hydrocodone / ibuprofen,Pain,3,7,0,0
33474,Hydroxychloroquine,Sjogren's Syndrome,8,90,1,720
33475,Lorcaserin,Weight Loss,10,110,1,1100
33477,Fluoxetine,Panic Disorde,8,67,1,536
33478,Bupropion,Depression,9,11,1,99
33479,Lamotrigine,Bipolar Disorde,10,141,1,1410
33480,Clonidine,Opiate Withdrawal,10,64,1,640
33481,Levacet,Pain,5,4,0,0
33482,Invega,Schizophrenia,10,44,1,440
33483,Duloxetine,Depression,1,13,0,0
33484,Ethinyl estradiol / etonogestrel,Birth Control,3,12,0,0
33486,Oxycodone,Not Listed / Othe,7,1,1,7
33487,Ashlyna,Birth Control,4,1,0,0
33488,Phendimetrazine,Obesity,8,22,1,176
33489,Chlor-Trimeton,Allergic Rhinitis,9,11,1,99
33490,Ranexa,Angina,3,7,0,0
33491,Lexapro,Generalized Anxiety Disorde,6,38,1,228
33492,Copaxone,Multiple Sclerosis,10,95,1,950
33493,Concerta,ADHD,10,5,1,50
33494,Olanzapine,Schizophrenia,1,26,0,0
33495,Cryselle,Birth Control,2,1,0,0
33496,Naloxegol,"Constipation, Drug Induced",9,46,1,414
33498,Sertraline,Depression,9,20,1,180
33499,Dolobid,Rheumatoid Arthritis,5,13,0,0
33500,Tramadol,Pain,8,41,1,328
33501,Bupropion / naltrexone,Obesity,8,29,1,232
33502,Sodium hyaluronate,Osteoarthritis,10,168,1,1680
33503,Bisacodyl,Constipation,9,5,1,45
33504,Lorazepam,Anxiety,10,100,1,1000
33505,Sofosbuvir,Hepatitis C,10,25,1,250
33506,Olopatadine,Seasonal Allergic Conjunctivitis,10,1,1,10
33508,Amoxicillin / clavulanate,Not Listed / Othe,10,0,1,0
33509,Lexapro,Anxiety,10,135,1,1350
33510,Diclofenac,Rheumatoid Arthritis,10,58,1,580
33511,Bupropion / naltrexone,Obesity,10,16,1,160
33512,Primidone,Benign Essential Trem,7,26,1,182
33513,Docosanol,Herpes Simplex,9,17,1,153
33514,Abreva,Herpes Simplex,10,8,1,80
33515,Meloxicam,Rheumatoid Arthritis,10,76,1,760
33516,Sertraline,Social Anxiety Disorde,8,44,1,352
33517,Zolmitriptan,Migraine,10,12,1,120
